temp,hum,windspeed,atemp,cnt
0.24,0.81,0.0,0.2879,16
0.22,0.8,0.0,0.2727,40
0.22,0.8,0.0,0.2727,32
0.24,0.75,0.0,0.2879,13
0.24,0.75,0.0,0.2879,1
0.24,0.75,0.0896,0.2576,1
0.22,0.8,0.0,0.2727,2
0.2,0.86,0.0,0.2576,3
0.24,0.75,0.0,0.2879,8
0.32,0.76,0.0,0.3485,14
0.38,0.76,0.2537,0.3939,36
0.36,0.81,0.2836,0.3333,56
0.42,0.77,0.2836,0.4242,84
0.46,0.72,0.2985,0.4545,94
0.46,0.72,0.2836,0.4545,106
0.44,0.77,0.2985,0.4394,110
0.42,0.82,0.2985,0.4242,93
0.44,0.82,0.2836,0.4394,67
0.42,0.88,0.2537,0.4242,35
0.42,0.88,0.2537,0.4242,37
0.4,0.87,0.2537,0.4091,36
0.4,0.87,0.194,0.4091,34
0.4,0.94,0.2239,0.4091,28
0.46,0.88,0.2985,0.4545,39
0.46,0.88,0.2985,0.4545,17
0.44,0.94,0.2537,0.4394,17
0.42,1.0,0.2836,0.4242,9
0.46,0.94,0.194,0.4545,6
0.46,0.94,0.194,0.4545,3
0.42,0.77,0.2985,0.4242,2
0.4,0.76,0.194,0.4091,1
0.4,0.71,0.2239,0.4091,8
0.38,0.76,0.2239,0.3939,20
0.36,0.81,0.2239,0.3485,53
0.36,0.71,0.2537,0.3333,70
0.36,0.66,0.2985,0.3333,93
0.36,0.66,0.1343,0.3485,75
0.36,0.76,0.194,0.3485,59
0.34,0.81,0.1642,0.3333,74
0.34,0.71,0.1642,0.3333,76
0.34,0.57,0.194,0.3333,65
0.36,0.46,0.3284,0.3333,53
0.32,0.42,0.4478,0.2879,30
0.3,0.39,0.3582,0.2727,22
0.26,0.44,0.3284,0.2273,31
0.24,0.44,0.2985,0.2121,9
0.22,0.47,0.1642,0.2273,8
0.22,0.44,0.3582,0.197,5
0.2,0.44,0.4179,0.1667,2
0.16,0.47,0.3881,0.1364,1
0.16,0.47,0.2836,0.1364,3
0.14,0.5,0.3881,0.1061,30
0.14,0.5,0.194,0.1364,64
0.14,0.5,0.2836,0.1212,154
0.16,0.43,0.3881,0.1364,88
0.18,0.43,0.2537,0.1667,44
0.2,0.4,0.3284,0.1818,51
